TIPO_ELECCION,ANIO,ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATO,NOMBRE_FOTO
AYUNTAMIENTO,2018,22,16,PVEM,ANA MARIA ROSALES MORENO,ana_moreno
AYUNTAMIENTO,2018,22,16,CQ,FERNANDO IRVIN MATAMOROS MENESES,fernando_meneses
AYUNTAMIENTO,2018,22,16,QI,ANTONIO JUAN CAMACHO RAMIREZ,antonio_ramirez
AYUNTAMIENTO,2018,22,16,MORENA-PT-PES,JUAN ALVARADO NAVARRETE,juan_navarrete
AYUNTAMIENTO,2018,22,2,IND,OSCAR ESTEBAN LUNA OLLERVIDES,oscar_ollervides
AYUNTAMIENTO,2018,22,17,PAN,GUSTAVO PEREZ ROJANO,gustavo_rojano
AYUNTAMIENTO,2018,22,17,PRI,HECTOR IVAN MAGAÑA RENTERIA,hector_renteria
AYUNTAMIENTO,2018,22,17,PRD,MARTHA ALEJANDRA CABALLERO SANCHEZ,martha_sanchez
AYUNTAMIENTO,2018,22,17,MC,GUSTAVO PEREZ ROJANO,gustavo_rojano
AYUNTAMIENTO,2018,22,17,,CLAUDIA FEREGRINO HERNANDEZ,claudia_hernandez
AYUNTAMIENTO,2018,22,17,PVEM,RAUL ORIHUELA GONZALEZ,raul_gonzalez
AYUNTAMIENTO,2018,22,17,PES,VERONICA AVILA CARMONA,veronica_carmona
AYUNTAMIENTO,2018,22,17,MORENA,ISAAC CASTRO SAHADE,isaac_sahade
AYUNTAMIENTO,2018,22,17,PT,HERMELINDA GONZALEZ BARRON,hermelinda_barron
AYUNTAMIENTO,2018,22,17,CQ,LUIS GARRIDO MIRANDA,luis_miranda
AYUNTAMIENTO,2018,22,17,QI,ROSA MARIA UGALDE HERNANDEZ,rosa_hernandez
AYUNTAMIENTO,2018,22,17,IND,PAULINA RAQUEL CHAVEZ LORA,paulina_lora
AYUNTAMIENTO,2018,22,3,IND,PAULINO VAZQUEZ MORAN,paulino_moran
AYUNTAMIENTO,2018,22,11,IND,RAMON MALAGON SILVA,ramon_silva
AYUNTAMIENTO,2018,22,18,PAN,MA. GUADALUPE ALCANTARA DE SANTIAGO,ma._santiago
AYUNTAMIENTO,2018,22,18,PRD,MA. GUADALUPE ALCANTARA DE SANTIAGO,ma._santiago
AYUNTAMIENTO,2018,22,18,MC,MA. GUADALUPE ALCANTARA DE SANTIAGO,ma._santiago
AYUNTAMIENTO,2018,22,18,,MAGDALENO MUÑOZ GONZALEZ,magdaleno_gonzalez
AYUNTAMIENTO,2018,22,18,PES,SABINO SANCHEZ MARTINEZ,sabino_martinez
AYUNTAMIENTO,2018,22,18,MORENA,NORMA ANGELICA OLVERA CARBAJAL,norma_carbajal
AYUNTAMIENTO,2018,22,18,PT,MARTIN JIMENEZ RAMOS,martin_ramos
AYUNTAMIENTO,2018,22,18,CQ,ISRAEL GUERRERO BOCANEGRA,israel_bocanegra
AYUNTAMIENTO,2018,22,18,QI,VIRIDIANA CHIQUITO CHAVEZ,viridiana_chavez
AYUNTAMIENTO,2018,22,18,PRI-PVEM,JANETT FEREGRINO FERNANDEZ DE JAUREGUI,janett_jauregui
AYUNTAMIENTO,2018,22,5,IND,REBECA MENDOZA HASSEY,rebeca_hassey
AYUNTAMIENTO,2018,22,16,IND,RUBEN RIOS TEJEIDA,ruben_tejeida
