#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN 2,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN 3,1PP_MV,VOTOS,PCN 4,DIF_2DO,PCN 5,2PP_MV,VOTOS 2,PCN 6,DIF_3RO,PCN 7,3PP_MV,VOTOS 3,PCN 8,PAN,PCN 9,PRI,PCN 10,PRD,PCN 11,MC,PCN 12,PVEM,PCN 13,MORENA,PCN 14,PT,PCN 15,QI,PCN 16,PES,PCN 17,RSP,PCN 18,FxM,PCN 19,PAN_QI,PCN 20,CNR,PCN 21,NULOS,PCN 22,TOT_VOTOS,VALIDACION
11,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,10,1.184,642,"0,54","0,46",PRI,267,"0,42",15,"0,02",PAN,252,"0,39",188,"0,29",MORENA,64,"0,10",PRI,267,"0,42",15,"0,02",PAN,252,"0,39",188,"0,29",MORENA,64,"0,10",252,"0,39",267,"0,42",1,"0,00",10,"0,02",16,"0,02",64,"0,10",2,"0,00",0,"0,00",7,"0,01",2,"0,00",4,"0,01",1,0,0,"0,00",16,"0,02",642,"100,00%"
12,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,11,1.575,949,"0,60","0,40",PAN,386,"0,41",112,"0,12",PRI,274,"0,29",88,"0,09",MORENA,186,"0,20",PAN,386,"0,41",112,"0,12",PRI,274,"0,29",88,"0,09",MORENA,186,"0,20",386,"0,41",274,"0,29",6,"0,01",10,"0,01",21,"0,02",186,"0,20",4,"0,00",6,"0,01",8,"0,01",3,"0,00",9,"0,01",3,0,1,"0,00",32,"0,03",949,"100,00%"
13,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,12,881,567,"0,64","0,36",PRI,209,"0,37",52,"0,09",PAN,157,"0,28",0,"0,00",PAN,157,"0,28",PRI,209,"0,37",52,"0,09",PAN,157,"0,28",0,"0,00",PAN,157,"0,28",157,"0,28",209,"0,37",1,"0,00",2,"0,00",9,"0,02",157,"0,28",1,"0,00",1,"0,00",2,"0,00",4,"0,01",2,"0,00",2,0,0,"0,00",20,"0,04",567,"100,00%"
14,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,13,1.762,1.045,"0,59","0,41",PAN,418,"0,40",80,"0,08",PRI,338,"0,32",142,"0,14",MORENA,196,"0,19",PAN,418,"0,40",80,"0,08",PRI,338,"0,32",142,"0,14",MORENA,196,"0,19",418,"0,40",338,"0,32",4,"0,00",10,"0,01",16,"0,02",196,"0,19",3,"0,00",4,"0,00",9,"0,01",8,"0,01",5,"0,00",3,0,0,"0,00",31,"0,03",1.045,"100,00%"
15,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,14,2.548,1.537,"0,60","0,40",PAN,649,"0,42",91,"0,06",PRI,558,"0,36",367,"0,24",MORENA,191,"0,12",PAN,649,"0,42",91,"0,06",PRI,558,"0,36",367,"0,24",MORENA,191,"0,12",649,"0,42",558,"0,36",5,"0,00",23,"0,01",28,"0,02",191,"0,12",4,"0,00",2,"0,00",8,"0,01",6,"0,00",18,"0,01",6,0,0,"0,00",39,"0,03",1.537,"100,00%"
16,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,15,2.256,1.330,"0,59","0,41",MORENA,573,"0,43",262,"0,20",PAN,311,"0,23",18,"0,01",PRI,293,"0,22",MORENA,573,"0,43",262,"0,20",PAN,311,"0,23",18,"0,01",PRI,293,"0,22",311,"0,23",293,"0,22",4,"0,00",10,"0,01",26,"0,02",573,"0,43",8,"0,01",1,"0,00",15,"0,01",21,"0,02",7,"0,01",5,0,0,"0,00",56,"0,04",1.330,"100,00%"
17,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,16,1.122,708,"0,63","0,37",PAN,362,"0,51",191,"0,27",PRI,171,"0,24",52,"0,07",MORENA,119,"0,17",PAN,362,"0,51",191,"0,27",PRI,171,"0,24",52,"0,07",MORENA,119,"0,17",362,"0,51",171,"0,24",3,"0,00",3,"0,00",16,"0,02",119,"0,17",4,"0,01",2,"0,00",2,"0,00",4,"0,01",2,"0,00",0,0,0,"0,00",20,"0,03",708,"100,00%"
18,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,17,1.569,988,"0,63","0,37",PAN,394,"0,40",34,"0,03",PRI,360,"0,36",183,"0,19",MORENA,177,"0,18",PAN,394,"0,40",34,"0,03",PRI,360,"0,36",183,"0,19",MORENA,177,"0,18",394,"0,40",360,"0,36",4,"0,00",5,"0,01",8,"0,01",177,"0,18",5,"0,01",1,"0,00",1,"0,00",6,"0,01",5,"0,01",2,0,0,"0,00",20,"0,02",988,"100,00%"
19,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,18,730,446,"0,61","0,39",PRI,172,"0,39",3,"0,01",PAN,169,"0,38",112,"0,25",MORENA,57,"0,13",PRI,172,"0,39",3,"0,01",PAN,169,"0,38",112,"0,25",MORENA,57,"0,13",169,"0,38",172,"0,39",4,"0,01",7,"0,02",7,"0,02",57,"0,13",1,"0,00",3,"0,01",0,"0,00",8,"0,02",3,"0,01",5,0,0,"0,00",10,"0,02",446,"100,00%"
20,22,QUERÉTARO,1,AMEALCO DE BONFIL,,8,20,833,533,"0,64","0,36",PAN,247,"0,46",128,"0,24",PRI,119,"0,22",14,"0,03",MORENA,105,"0,20",PAN,247,"0,46",128,"0,24",PRI,119,"0,22",14,"0,03",MORENA,105,"0,20",247,"0,46",119,"0,22",1,"0,00",10,"0,02",10,"0,02",105,"0,20",6,"0,01",3,"0,01",5,"0,01",6,"0,01",1,"0,00",1,0,0,"0,00",19,"0,04",533,"100,00%"
